name,album,artist,artist_top_genre,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Gender ,Source 
Morocco,Mandy & The Jungle,Cruel Santino,alternative r&b,2019,186696,33,0.735,0.872,0.596,0.866,0.16,-7.379,0.0865,89.966,4,Male,https://www.google.com/search?q=adekunle+gold&oq=Adekunle+gold&aqs=chrome.0.0i355i433i512j46i433i512j46i512j0i131i433i512j46i512j0i512l2j46i512j0i512l2.2944j0j9&sourceid=chrome&ie=UTF-8
luv in a mosh,EVERYTHING YOU HEARD IS TRUE,Odunsi (The Engine),afropop,2020,97071,35,0.66,0.609,0.745,0.00301,0.342,-4.125,0.0421,177.991,4,Male,https://www.google.com/search?q=adekunle+gold&oq=Adekunle+gold&aqs=chrome.0.0i355i433i512j46i433i512j46i512j0i131i433i512j46i512j0i512l2j46i512j0i512l2.2944j0j9&sourceid=chrome&ie=UTF-8
Raw Dinner,Mandy & The Jungle,Cruel Santino,alternative r&b,2019,143569,46,0.603,0.714,0.433,0.0407,0.105,-5.935,0.338,63.545,5,Male,https://www.google.com/search?q=adekunle+gold&oq=Adekunle+gold&aqs=chrome.0.0i355i433i512j46i433i512j46i512j0i131i433i512j46i512j0i512l2j46i512j0i512l2.2944j0j9&sourceid=chrome&ie=UTF-8
Waka,Wildfire,prettyboydo,nigerian pop,2020,172708,23,0.583,0.296,0.563,0.00023,0.214,-6.801,0.143,96.568,4,Male,https://www.google.com/search?q=Afro+B&sxsrf=AOaemvJCELtrS_WZaBzPtctY-uIHsjW3Ag%3A1638347781821&ei=BTSnYanJMZSV8gLp2q7QDA&ved=0ahUKEwjp37aMmcL0AhWUilwKHWmtC8oQ4dUDCA4&uact=5&oq=Afro+B&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEJECMgUILhCRAjIKCAAQgAQQhwIQFDIKCAAQgAQQhwIQFDIICAAQgAQQsQMyBQguEIAEMggIABCABBDJAzIFCAAQkgMyBQgAEJIDMgUIABCABDoHCAAQRxCwAzoHCC4QsAMQQzoKCC4QyAMQsAMQQzoECC4QJzoECCMQJzoLCAAQgAQQsQMQgwE6EQguEIAEELEDEIMBEMcBENEDOhEILhCABBCxAxCDARDHARCjAjoICC4QgAQQsQM6DgguEIAEELEDEMcBENEDOgQILhBDOggIABCxAxCDAToLCC4QgAQQxwEQ0QM6DgguEIAEELEDEMcBEKMCOgsILhCABBDHARCjAjoLCAAQgAQQsQMQyQM6BQguELEDOggIABCxAxCRAjoNCC4QgAQQsQMQgwEQCjoHCC4QgAQQCkoECEEYAFDCA1jO_gFg94ACaAlwAngAgAHBAYgB3wmSAQM2LjWYAQCgAQHIAQ_AAQE&sclient=gws-wiz
Summer Time (feat. Tay Iwar),Suzie's Funeral,Cruel Santino,alternative r&b,2016,226146,19,0.663,0.871,0.462,3.33E-06,0.125,-6.769,0.0278,139.946,4,Female,https://www.google.com/search?sxsrf=AOaemvK_Kk7yFU4Ek4LFLgA4BTw3fSHUGw:1638266996196&q=Amaarae&spell=1&sa=X&ved=2ahUKEwj0x-uS7L_0AhWFiVwKHfTaC0gQBSgAegQIARA0&biw=1440&bih=720&dpr=1
Bite the Dust,Enjoy Your Life,Lady Donli,nigerian pop,2019,142857,14,0.69,0.469,0.516,0.000236,0.0865,-8.45,0.131,104.991,4,Male,https://www.google.com/search?q=anyidons&sxsrf=AOaemvLdjumqUo7BSy8qH4kd1sj-DWHA-Q%3A1638347314200&ei=MjKnYfzHC8KAhbIP9ISNiAY&gs_ssp=eJzj4tVP1zc0zDCvLDczNi83YPTiSMyrzEzJzysGAF3GB80&oq=any&gs_lcp=Cgdnd3Mtd2l6EAMYADIFCC4QkQIyBQgAEJECMggILhCABBCxAzIOCC4QgAQQsQMQxwEQowIyCAgAEIAEELEDMggILhCABBCxAzIFCC4QsQMyDgguEIAEELEDEMcBENEDMggIABCABBCxAzILCC4QgAQQsQMQgwE6BwgAEEcQsAM6BwgAELADEEM6CgguEMgDELADEEM6BAgjECc6BAgAEEM6BAguEEM6CwgAEIAEELEDEIMBOhEILhCABBCxAxCDARDHARDRAzoRCC4QgAQQsQMQgwEQxwEQowI6BQguEIAEOgsILhCABBDHARCvAToICC4QsQMQgwFKBAhBGABQ0QlY9g9ggyFoA3ACeACAAWeIAasCkgEDMS4ymAEAoAEByAEMwAEB&sclient=gws-wiz
City on Lights!,dnt'dlt,AYLØ,indie r&b,2019,200937,15,0.535,0.488,0.696,4.33E-06,0.167,-7.65,0.264,159.48,4,Male,https://www.google.com/search?q=awilo+longomba&sxsrf=AOaemvJcRGCil8SMkuWqpt8TSW4LTzZwyw%3A1638347535974&ei=DzOnYZ_zOpaV8gL104qYBQ&gs_ssp=eJzj4tLP1TcwLErPrjQ2YPTiSyzPzMlXyMnPS8_PTUoEAHyjCUU&oq=awilo+longomba&gs_lcp=Cgdnd3Mtd2l6EAMYADIECC4QQzIFCC4QkQIyBQgAEJECMgUIABCRAjIFCAAQkQIyBAguEEMyBQguEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEOgcIIxCwAxAnOgcIABBHELADOgQILhAnOgQIIxAnOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQ0QM6BAgAEEM6EQguEIAEELEDEIMBEMcBEKMCOgcILhCxAxBDOggILhCABBCxAzoOCC4QgAQQsQMQxwEQ0QM6CAgAEIAEELEDOgsILhCABBDHARDRAzoNCC4QgAQQxwEQrwEQCkoECEEYAFCSBljsJGD1KWgDcAJ4AIAB0wGIAeYMkgEFOC40LjKYAQCgAQHIAQnAAQE&sclient=gws-wiz
PDA!,EVERYTHING YOU HEARD IS TRUE,Odunsi (The Engine),afropop,2020,148666,29,0.624,0.56,0.646,0,0.233,-5.179,0.0793,179.874,4,Male,https://www.google.com/search?q=awilo+longomba&sxsrf=AOaemvJcRGCil8SMkuWqpt8TSW4LTzZwyw%3A1638347535974&ei=DzOnYZ_zOpaV8gL104qYBQ&gs_ssp=eJzj4tLP1TcwLErPrjQ2YPTiSyzPzMlXyMnPS8_PTUoEAHyjCUU&oq=awilo+longomba&gs_lcp=Cgdnd3Mtd2l6EAMYADIECC4QQzIFCC4QkQIyBQgAEJECMgUIABCRAjIFCAAQkQIyBAguEEMyBQguEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEOgcIIxCwAxAnOgcIABBHELADOgQILhAnOgQIIxAnOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQ0QM6BAgAEEM6EQguEIAEELEDEIMBEMcBEKMCOgcILhCxAxBDOggILhCABBCxAzoOCC4QgAQQsQMQxwEQ0QM6CAgAEIAEELEDOgsILhCABBDHARDRAzoNCC4QgAQQxwEQrwEQCkoECEEYAFCSBljsJGD1KWgDcAJ4AIAB0wGIAeYMkgEFOC40LjKYAQCgAQHIAQnAAQE&sclient=gws-wiz
End Of The Wicked (feat. Octavian),End Of The Wicked (feat. Octavian),Cruel Santino,alternative r&b,2020,186341,49,0.748,0.608,0.819,0.0615,0.109,-5.41,0.0789,150.01,4,Male,https://www.google.com/search?q=awilo+longomba&sxsrf=AOaemvJcRGCil8SMkuWqpt8TSW4LTzZwyw%3A1638347535974&ei=DzOnYZ_zOpaV8gL104qYBQ&gs_ssp=eJzj4tLP1TcwLErPrjQ2YPTiSyzPzMlXyMnPS8_PTUoEAHyjCUU&oq=awilo+longomba&gs_lcp=Cgdnd3Mtd2l6EAMYADIECC4QQzIFCC4QkQIyBQgAEJECMgUIABCRAjIFCAAQkQIyBAguEEMyBQguEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEOgcIIxCwAxAnOgcIABBHELADOgQILhAnOgQIIxAnOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQ0QM6BAgAEEM6EQguEIAEELEDEIMBEMcBEKMCOgcILhCxAxBDOggILhCABBCxAzoOCC4QgAQQsQMQxwEQ0QM6CAgAEIAEELEDOgsILhCABBDHARDRAzoNCC4QgAQQxwEQrwEQCkoECEEYAFCSBljsJGD1KWgDcAJ4AIAB0wGIAeYMkgEFOC40LjKYAQCgAQHIAQnAAQE&sclient=gws-wiz
Catching a Wav,Passionfruit Summers,Amaarae,afro r&b,2017,195000,34,0.655,0.793,0.333,0.00139,0.101,-12.849,0.051,80.033,4,Male,https://www.instagram.com/lierlierlo/
hectic,rare.,Odunsi (The Engine),afropop,2018,201082,34,0.713,0.171,0.669,0.00349,0.0724,-6.997,0.0921,90.988,4,Male,https://www.instagram.com/lierlierlo/
Whoa!,Insert Project Name,AYLØ,indie r&b,2017,205395,24,0.64,0.954,0.352,0.0731,0.106,-8.418,0.0526,108.356,4,Male,https://www.instagram.com/lierlierlo/
FLAVA,Enjoy Your Life,Lady Donli,nigerian pop,2019,166153,17,0.663,0.871,0.446,6.06E-05,0.146,-7.182,0.192,156.119,4,Male,https://www.instagram.com/lierlierlo/
Alté Cruise,rare.,Odunsi (The Engine),afropop,2018,192309,36,0.89,0.563,0.536,0.000859,0.622,-4.794,0.123,95.02,4,Male,https://mybiohub.com/2016/05/baci-biography-instagram-triple-mg.html/
Classic,Classic,Lady Donli,nigerian pop,2018,216296,45,0.721,0.313,0.782,0,0.0791,-9.297,0.071,161.971,4,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
I listen to you...,dnt'dlt,AYLØ,indie r&b,2019,227500,17,0.828,0.273,0.529,5.73E-06,0.101,-12.471,0.143,119.976,4,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
angel,rare.,Odunsi (The Engine),afropop,2018,151304,36,0.76,0.229,0.111,0.00119,0.129,-19.362,0.044,92.014,4,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
Around,Enjoy Your Life,Lady Donli,nigerian pop,2019,111107,12,0.847,0.424,0.653,0,0.27,-5.617,0.0412,142.517,3,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
SPACE,GEMINI,Tay Iwar,alternative r&b,2019,193249,27,0.853,0.249,0.372,0.00116,0.0517,-10.347,0.0596,116.989,4,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
Alté,Alté,DRB Lasgidi,nigerian pop,2019,182909,18,0.774,0.021,0.73,2.46E-05,0.0749,-4.424,0.0315,105.077,4,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
Beginning,Beginning,Joeboy,afropop,2019,158052,55,0.878,0.149,0.668,0.000116,0.1,-7.076,0.107,109.955,4,Male,https://www.google.com/search?q=basketmouth&sxsrf=AOaemvKe3vjOkiv0At8L6ev58eALlU8Szw%3A1638347922255&ei=kjSnYePxDpaA8gK-25qICg&gs_ssp=eJzj4tLP1TeILzZOL0g3YPTiTkoszk4tyc0vLckAAGWRCIA&oq=basketmout&gs_lcp=Cgdnd3Mtd2l6EAMYATIKCAAQgAQQhwIQFDIFCC4QgAQyBQgAEIAEMgUILhCABDIFCAAQgAQyBQguEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEMgUIABCABDoHCAAQRxCwAzoKCC4QyAMQsAMQQzoECCMQJzoECC4QQzoLCAAQgAQQsQMQgwE6EQguEIAEELEDEIMBEMcBEKMCOhEILhCABBCxAxCDARDHARDRAzoFCAAQkQI6BQguEJECOggILhCxAxCDAToICAAQsQMQgwE6CAguEIAEELEDOggILhCxAxCRAjoLCC4QgAQQxwEQowI6CAgAEIAEELEDOg4ILhCxAxCDARDHARCvAToOCC4QgAQQsQMQxwEQowI6CAgAEIAEEMkDOgUIABCSAzoLCC4QgAQQxwEQrwFKBAhBGABQ4AVYoBBghiFoAnACeACAAYIBiAG4BpIBAzguMpgBAKABAcgBDsABAQ&sclient=gws-wiz
Aye,Aye,DaVido,afropop,2014,235053,0,0.729,0.628,0.868,0,0.057,-4.72,0.0474,115,4,Male,https://www.google.com/search?q=bez+nigerian+singer&sxsrf=AOaemvJOBkFJu6CUelTSieMVEqZYjsMJAQ%3A1638349323433&ei=CzqnYcDeGZKdgQbBwrHACg&gs_ssp=eJzj4tLP1TfIya5MNy42YPQSTkqtUsjLTE8tykzMUyjOzAOyALT3C1E&oq=BEZ+nigeria&gs_lcp=Cgdnd3Mtd2l6EAEYADIFCC4QgAQyBggAEBYQHjoHCAAQRxCwAzoHCAAQsAMQQzoKCC4QyAMQsAMQQzoECAAQQzoICC4QgAQQsQM6BQgAEIAEOgcIABCABBAKOgoILhCABBCHAhAUSgQIQRgAULgBWJwTYKIlaAFwAngAgAFviAGPBpIBAzQuNJgBAKABAcgBD8ABAQ&sclient=gws-wiz
Baby,Baby,Joeboy,afropop,2019,165448,13,0.785,0.142,0.806,0.000285,0.147,-5.34,0.0558,105.001,4,Male,https://www.google.com/search?q=bisa+kdei&biw=1440&bih=720&sxsrf=AOaemvJE99SnQCj7PosyUviDtr5W_Mi3tQ%3A1638267683326&ei=I_ulYYKdE-aBhbIPvtOmUA&gs_ssp=eJzj4tVP1zc0TDKPL6mITzY0YPTiTMosTlTITknNBABnLwf2&oq=bissa+k&gs_lcp=Cgdnd3Mtd2l6EAMYADIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjoHCAAQRxCwAzoKCC4QyAMQsAMQQzoECCMQJzoKCC4QxwEQowIQJzoECC4QQzoLCAAQgAQQsQMQgwE6BQguEJECOggILhCABBCxAzoICC4QsQMQgwE6BQguEIAEOggIABCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6CwguEIAEELEDEIMBOgUIABCABDoFCAAQkQI6BQgAELEDOgcIABCABBAKSgQIQRgAUPQGWKQRYIoeaANwAngAgAGeAYgBkQWSAQM2LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Assurance,Assurance,DaVido,afropop,2018,249320,48,0.665,0.275,0.799,2.99E-06,0.0756,-3.244,0.115,206.007,4,Male,https://www.google.com/search?q=bisa+kdei&biw=1440&bih=720&sxsrf=AOaemvJE99SnQCj7PosyUviDtr5W_Mi3tQ%3A1638267683326&ei=I_ulYYKdE-aBhbIPvtOmUA&gs_ssp=eJzj4tVP1zc0TDKPL6mITzY0YPTiTMosTlTITknNBABnLwf2&oq=bissa+k&gs_lcp=Cgdnd3Mtd2l6EAMYADIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjoHCAAQRxCwAzoKCC4QyAMQsAMQQzoECCMQJzoKCC4QxwEQowIQJzoECC4QQzoLCAAQgAQQsQMQgwE6BQguEJECOggILhCABBCxAzoICC4QsQMQgwE6BQguEIAEOggIABCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6CwguEIAEELEDEIMBOgUIABCABDoFCAAQkQI6BQgAELEDOgcIABCABBAKSgQIQRgAUPQGWKQRYIoeaANwAngAgAGeAYgBkQWSAQM2LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Yori Yori,Least Expected,Bracket,afro dancehall,2009,218426,43,0.685,0.523,0.783,0,0.112,-1.606,0.169,102.62,4,Male,https://www.google.com/search?q=blackmagic+nigerian+artist&sxsrf=AOaemvKdIRPmkcR3jKkmthosru0gB0f9gQ%3A1638349677739&ei=bTunYZquLM2W8gK0_qKoCA&gs_ssp=eJzj4tVP1zc0TCo3M0sqLkgzYPSSSspJTM7OTUzPTFbIy0xPLcpMzFNILCrJLC4BADC7DuY&oq=blackmagic+niger&gs_lcp=Cgdnd3Mtd2l6EAMYADIFCC4QgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB46BwgAEEcQsAM6BAguECc6BAgjECc6BAgAEEM6BAguEEM6CwgAEIAEELEDEIMBOhEILhCABBCxAxCDARDHARCjAjoFCAAQkQI6CgguELEDEIMBEEM6BQgAEIAEOggIABCABBCxAzoICC4QgAQQsQM6DgguEIAEELEDEMcBEK8BOg4ILhCABBCxAxDHARDRAzoNCAAQgAQQsQMQgwEQCjoLCC4QgAQQxwEQrwE6CAgAEBYQChAeSgQIQRgAUKUHWI0gYPUqaANwAngAgAGaAYgBsgySAQQxMi40mAEAoAEByAEIwAEB&sclient=gws-wiz
Nobody,Nobody,DJ Neptune,afro dancehall,2020,145860,63,0.707,0.251,0.866,2.50E-06,0.263,-3.612,0.0354,108.053,4,n.a,
Perfect Gentleman,The Journey,Sean Tizzle,afro dancehall,2014,254824,16,0.693,0.369,0.936,3.83E-05,0.123,-4.091,0.0635,125.945,4,Male,https://www.google.com/search?q=boj+nigerian+artist&sxsrf=AOaemvJs1WnjVj4oeftUjtUwVo8XdJBoug%3A1638268010547&ei=avylYYvmIJuHxc8Pmou4uAw&oq=boj+ni&gs_lcp=Cgdnd3Mtd2l6EAEYADIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgcIABBHELADOgcIABCwAxBDOhAILhDHARDRAxDIAxCwAxBDOgoILhDIAxCwAxBDOgQILhBDOgoILhDHARCvARBDOgUILhCABEoECEEYAFChA1j7DWC3E2gBcAJ4AIABeIgBqAKSAQMyLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
Case,Case,Teni,afro dancehall,2018,202448,54,0.81,0.358,0.638,0,0.211,-4.778,0.0398,102.003,4,Male,https://www.google.com/search?q=boj+nigerian+artist&sxsrf=AOaemvJs1WnjVj4oeftUjtUwVo8XdJBoug%3A1638268010547&ei=avylYYvmIJuHxc8Pmou4uAw&oq=boj+ni&gs_lcp=Cgdnd3Mtd2l6EAEYADIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgcIABBHELADOgcIABCwAxBDOhAILhDHARDRAxDIAxCwAxBDOgoILhDIAxCwAxBDOgQILhBDOgoILhDHARCvARBDOgUILhCABEoECEEYAFChA1j7DWC3E2gBcAJ4AIABeIgBqAKSAQMyLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
Adiepena,Adiepena,KiDi,afro dancehall,2018,195728,36,0.741,0.307,0.762,0,0.318,-6.089,0.0346,102.965,4,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Nobody Fine Pass You,Nobody Fine Pass You,T-Classic,nigerian pop,2019,215170,0,0.765,0.628,0.687,2.28E-06,0.0736,-5.98,0.125,114.056,4,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Duduke,Duduke,Simi,afropop,2020,172000,60,0.781,0.552,0.656,5.18E-05,0.131,-4.105,0.106,96.083,4,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Mad over You,Mad over You,Runtown,afro dancehall,2016,215906,53,0.842,0.458,0.543,0.000135,0.102,-4.778,0.0483,107.048,4,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Odo Remix (feat. Mayorkun & Davido),Odo Remix (feat. Mayorkun & Davido),KiDi,afro dancehall,2017,233592,41,0.722,0.0642,0.608,0.0111,0.0514,-4.684,0.0304,103.04,4,Male,https://www.google.com/search?q=brymo&oq=brymo+&aqs=chrome..69i57j46i67l3j0i67l2j0i512l2j46i512j0i271.1474j0j9&sourceid=chrome&ie=UTF-8
On Top Your Matter,On Top Your Matter,WizKid,afro dancehall,2014,284814,26,0.706,0.0536,0.966,0,0.0566,-1.266,0.0564,124.003,4,Male,https://www.google.com/search?q=burna+boy+&sxsrf=AOaemvJx8YppTjsG9aWIJp3dgS069Q2OVg%3A1638269582796&ei=jgKmYen3L_yFhbIPwIWYmAQ&ved=0ahUKEwjp9pzk9b_0AhX8QkEAHcACBkMQ4dUDCA8&uact=5&oq=burna+boy+&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEJECMgQIABBDMgUIABCRAjIECAAQQzIECC4QQzIECC4QQzIFCC4QkQIyBQguEJECMgQILhBDMgQILhBDOgcIABBHELADOgoILhDIAxCwAxBDOgQIIxAnOgQILhAnOg4ILhCABBCxAxDHARCjAjoOCC4QgAQQsQMQxwEQ0QM6CwguEIAEEMcBEKMCOhEILhCABBCxAxCDARDHARCjAjoICAAQsQMQgwE6BwguELEDEEM6CAguEIAEELEDOgsILhCxAxDHARDRAzoICAAQgAQQsQM6BQgAEIAEOgUILhCABEoECEEYAFDhBVioFGDbFmgDcAJ4AIABaogBjwaSAQM5LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Happy Day,Happy Day,Patoranking,afro dancehall,2014,260146,5,0.716,0.232,0.952,0.000105,0.0868,-2.717,0.111,102.948,4,Male,https://www.google.com/search?q=burna+boy+&sxsrf=AOaemvJx8YppTjsG9aWIJp3dgS069Q2OVg%3A1638269582796&ei=jgKmYen3L_yFhbIPwIWYmAQ&ved=0ahUKEwjp9pzk9b_0AhX8QkEAHcACBkMQ4dUDCA8&uact=5&oq=burna+boy+&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEJECMgQIABBDMgUIABCRAjIECAAQQzIECC4QQzIECC4QQzIFCC4QkQIyBQguEJECMgQILhBDMgQILhBDOgcIABBHELADOgoILhDIAxCwAxBDOgQIIxAnOgQILhAnOg4ILhCABBCxAxDHARCjAjoOCC4QgAQQsQMQxwEQ0QM6CwguEIAEEMcBEKMCOhEILhCABBCxAxCDARDHARCjAjoICAAQsQMQgwE6BwguELEDEEM6CAguEIAEELEDOgsILhCxAxDHARDRAzoICAAQgAQQsQM6BQgAEIAEOgUILhCABEoECEEYAFDhBVioFGDbFmgDcAJ4AIABaogBjwaSAQM5LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
No One Like You,Best Of P-Square,P-Square,afro dancehall,2014,268120,1,0.826,0.549,0.877,0,0.0924,-3.028,0.172,101.993,4,Male,https://www.google.com/search?q=burna+boy+&sxsrf=AOaemvJx8YppTjsG9aWIJp3dgS069Q2OVg%3A1638269582796&ei=jgKmYen3L_yFhbIPwIWYmAQ&ved=0ahUKEwjp9pzk9b_0AhX8QkEAHcACBkMQ4dUDCA8&uact=5&oq=burna+boy+&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEJECMgQIABBDMgUIABCRAjIECAAQQzIECC4QQzIECC4QQzIFCC4QkQIyBQguEJECMgQILhBDMgQILhBDOgcIABBHELADOgoILhDIAxCwAxBDOgQIIxAnOgQILhAnOg4ILhCABBCxAxDHARCjAjoOCC4QgAQQsQMQxwEQ0QM6CwguEIAEEMcBEKMCOhEILhCABBCxAxCDARDHARCjAjoICAAQsQMQgwE6BwguELEDEEM6CAguEIAEELEDOgsILhCxAxDHARDRAzoICAAQgAQQsQM6BQgAEIAEOgUILhCABEoECEEYAFDhBVioFGDbFmgDcAJ4AIABaogBjwaSAQM5LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
If,If,DaVido,afropop,2017,237714,57,0.951,0.397,0.661,0,0.0686,-2.678,0.0612,104.997,4,Male,https://www.google.com/search?q=cdq&oq=cdq&aqs=chrome..69i57j0i512j35i39j0i433i512j69i60l4.797j0j9&sourceid=chrome&ie=UTF-8
Walk With Me,Walk With Me,Stormrex,na,2015,261973,0,0.488,0.586,0.666,0,0.397,-7.577,0.151,111.33,4,Male,https://www.google.com/search?q=cdq&oq=cdq&aqs=chrome..69i57j0i512j35i39j0i433i512j69i60l4.797j0j9&sourceid=chrome&ie=UTF-8
